,alcoholic,drink,glass,ingredients,ingredients_and_quantities,instructions
170,Alcoholic,Hot Toddy,Irish coffee cup,"Cloves, lemon, Cinnamon, Honey, Whiskey, ","Cloves - 2, lemon - 1, Cinnamon - 1, Honey - 15 ml, Whiskey - 50 ml, ","STEP 1

Whisk the whisky and honey together and split between 2 heatproof glasses. Add half of the cinnamon stick to each, then top up with 200ml boiling water.



STEP 2

Add a splash of lemon juice to each, then taste and add more to your preference. Finish each with a slice of lemon, studded with a clove, and serve immediately."
171,Alcoholic,Herbal flame,Mason jar,"Tea, Hot Damn, ","Tea - very sweet , Hot Damn - 5 shots , ","Pour Hot Damn 100 in bottom of a jar or regular glass. Fill the rest of the glass with sweet tea. Stir with spoon, straw, or better yet a cinnamon stick and leave it in."
172,Alcoholic,Horse's Neck,Highball glass,"Bitters, Ginger ale, Brandy, Lemon peel, ","Bitters - 2 dashes , Ginger ale - 5 oz , Brandy - 2 oz , Lemon peel - 1 long strip , ","Pour brandy and ginger ale directly into highball glass with ice cubes. Stir gently. Garnish with lemon zest. If desired, add dashes of Angostura Bitter."
173,Alcoholic,Happy Skipper,Highball glass,"Ice, Lime, Ginger ale, Spiced rum, ","Ice, Lime, Ginger ale, Spiced rum - 1 1/2 cl , ","Pour Captain Morgan's Spiced Rum over ice, fill glass to top with Ginger Ale. Garnish with lime. Tastes like a cream soda. Named for the Gilligan's Island reference (""The Captain"" *in* ""Ginger"" is a Happy Skipper!)"
174,Alcoholic,Hunter's Moon,Balloon Glass,"Blackberries, Lemonade, Sugar Syrup, Maraschino Cherry, Vermouth, ","Blackberries - 2, Lemonade - 100 ml, Sugar Syrup - 10 ml, Maraschino Cherry - 15 ml, Vermouth - 25 ml, ","Put the Bombay Sapphire, Martini Bianco, sugar syrup & blackberries in a cocktail shaker with lots of ice and shake vigorously before pouring into a balloon glass, topping up with lemonade and garnishing with a wedge of orange."
175,Alcoholic,Halloween Punch,Punch bowl,"Vodka, Ginger, Cloves, Red Chili Flakes, Orange Peel, Cherry Juice, ","Vodka - 20 cl, Ginger - 6, Cloves - 10, Red Chili Flakes - 1, Orange Peel - 3, Cherry Juice - 1 bottle, ","Tip the cherry juice, orange peel, chilli, cinnamon sticks, cloves and ginger into a large saucepan. Simmer for 5 mins, then turn off the heat. Leave to cool, then chill for at least 4 hrs, or up to 2 days � the longer you leave it the more intense the flavours. If serving to young children, take the chilli out after a few hours.



When you�re ready to serve, pour the juice into a jug. Serve in glass bottles or glasses and pop a straw in each. If you're adding vodka, do so at this stage. Dangle a fangs sweet from each glass."
176,Alcoholic,Havana Cocktail,Cocktail glass,"Lemon juice, Pineapple juice, Light rum, ","Lemon juice - 1 tsp , Pineapple juice - 1 oz , Light rum - 1 oz , ","In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass."
177,Non alcoholic,Holloween Punch,Punch bowl,"Sherbet, Sherbet, Carbonated soft drink, Grape juice, ","Sherbet, Sherbet, Carbonated soft drink - , orange
, Grape juice, ","Take a bunch of grape juice and a bunch of fizzy stuff (club soda, ginger ale, lemonlime, whatever). Mix them in a punch bowl. Take orange sherbet and lime sherbet. Scoop out scoops and float them in the punch, let them melt a little so that a nasty film spreads all over the top of the punch but there are still ""bubbles"" in it in the form of sherbet scoops. Looks horrible, tastes just fine."
178,Alcoholic,Homemade Kahlua,Collins Glass,"Vodka, Water, Vanilla extract, Coffee, Corn syrup, Sugar, ","Vodka - 1 fifth , Water - 3 cups boiling , Vanilla extract - 2 oz , Coffee - 1 1/2 oz instant , Corn syrup - 1 cup , Sugar - 2 1/2 cups , ","Dissolve sugar in 2 cups of boiling water and add corn syrup. Dissolve the instant coffee in the remaining water. Pour syrup and coffee in a gallon jug. Let it cool. Add vodka and vanilla when cold. For the best result, let the mixture ""mature"" for 4-5 weeks."
179,Alcoholic,Hot Creamy Bush,Irish coffee cup,"Coffee, Baileys irish cream, Irish whiskey, ","Coffee - 6 oz hot , Baileys irish cream - 3/4 shot , Irish whiskey - 1 shot , ",Combine all ingredients in glass
180,Alcoholic,Harvey Wallbanger,Collins glass,"Orange juice, Galliano, Vodka, ","Orange juice - 4 oz , Galliano - 1/2 oz , Vodka - 1 oz , ","Stir the vodka and orange juice with ice in the glass, then float the Galliano on top. Garnish and serve."
181,Alcoholic,Hawaiian Cocktail,Cocktail glass,"Pineapple juice, Triple sec, Gin, ","Pineapple juice - 1 tblsp , Triple sec - 1/2 oz , Gin - 2 oz , ","Shake all ingredients with ice, strain into a cocktail glass, and serve."
182,Alcoholic,Hemingway Special,Cocktail glass,"Lime Juice, Maraschino Liqueur, Grapefruit Juice, Rum, ","Lime Juice - 3 parts, Maraschino Liqueur - 3 parts, Grapefruit Juice - 8 parts, Rum - 12 parts, ",Pour all ingredients into a shaker with ice. Shake.
183,Alcoholic,Highland Fling Cocktail,Cocktail glass,"Olive, Orange bitters, Sweet Vermouth, Scotch, ","Olive - 1 , Orange bitters - 2 dashes , Sweet Vermouth - 3/4 oz , Scotch - 1 1/2 oz , ",Stir all ingredients (except olive) with ice and strain into a cocktail glass. Add the olive and serve.
184,Non alcoholic,Hot Chocolate to Die for,Coffee mug,"Marshmallows, Half-and-half, Vanilla extract, Butter, Chocolate, ","Marshmallows - mini , Half-and-half - 1 cup , Vanilla extract - 1/2 tsp , Butter - 1 tsp , Chocolate - 12 oz fine , ","Melt the chocolate, butter and vanilla in a double boiler. When just smooth stir in the cream."
185,Non alcoholic,Ipamena,Wine Glass,"Ice, Ginger ale, Passion fruit juice, Brown sugar, Lime, ","Ice - fill, Ginger ale - top up with, Passion fruit juice - 4 cl, Brown sugar - 2 tsp, Lime - �, ","Cut half a lime into pieces, place in a shaker, add the sugar and crush. Measure the passion fruit juice, add it to the shaker and fill up with ice cubes. Close the shaker and shake vigorously. Pour the liquid into a glass, top up with ginger ale, stir with a teaspoon and then garnish the rim of the glass with a slice of lime"
186,Alcoholic,Ice Pick,Collins Glass,"Lemon juice, Iced tea, Vodka, ","Lemon juice -  to taste
, Iced tea - 6 oz , Vodka - 1 1/2 oz , ",Put Vodka in glass fill with iced tea. Stir in lemon to taste.
187,Non alcoholic,Iced Coffee,Coffee mug,"Milk, Water, Sugar, Coffee, ","Milk - 4 cups cold , Water - 1/4 cup hot , Sugar - 1/4 cup , Coffee - 1/4 cup instant , ",Mix together until coffee and sugar is dissolved. Add milk. Shake well. Using a blender or milk shake maker produces a very foamy drink. Serve in coffee mug.
188,Alcoholic,Irish Cream,Irish coffee cup,"Chocolate syrup, Coconut syrup, Condensed milk, Half-and-half, Scotch, ","Chocolate syrup - 1 tblsp , Coconut syrup - 3 drops , Condensed milk - 1 can sweetened , Half-and-half - 1 1/4 cup , Scotch - 1 cup , ",Mix scotch and milk. Add half-and-half. Add rest.
189,Alcoholic,Irish Coffee,Irish coffee cup,"Whipped cream, Sugar, Coffee, Irish whiskey, ","Whipped cream - 1 tblsp , Sugar - 1 tsp , Coffee - 8 oz , Irish whiskey - 1 1/2 oz , ","Heat the coffee, whiskey and sugar; do not boil. Pour into glass and top with cream; serve hot."
190,Alcoholic,Irish Spring,Collins glass,"Cherry, Orange, Sweet and sour, Orange juice, Peach brandy, Irish whiskey, ","Cherry - 1 , Orange - 1 slice , Sweet and sour - 1 oz , Orange juice - 1 oz , Peach brandy - 1/2 oz , Irish whiskey - 1 oz , ","Pour all ingredients (except orange slice and cherry) into a collins glass over ice cubes. Garnish with the slice of orange, add the cherry on top, and serve."
191,Alcoholic,Imperial Fizz,Highball glass,"Carbonated water, Powdered sugar, Lemon, Blended whiskey, Light rum, ","Carbonated water, Powdered sugar - 1 tsp , Lemon - Juice of 1/2 , Blended whiskey - 1 1/2 oz , Light rum - 1/2 oz , ","Shake all ingredients (except carbonated water) with ice and strain into a highball glass over two ice cubes. Fill with carbonated water, stir, and serve."
192,Alcoholic,Irish Russian,Highball glass,"Guinness stout, Coca-Cola, Kahlua, Vodka, ","Guinness stout - Fill with , Coca-Cola - 1 dash , Kahlua - 1 shot , Vodka - 1 shot , ",Add the ingredients in the order listed in the recipe. Care must be taken when adding the Guinness to prevent an excess of foam. Do Not add ice.
193,Alcoholic,Imperial Cocktail,Cocktail glass,"Aperol, Gin, Lime juice, ","Aperol - 4 cl , Gin - 2 cl , Lime juice - 4 cl , ",Shake with ice and strain into cocktail glass.
194,Alcoholic,Iced Coffee Fillip,Coffee mug,"Coffee, Kahlua, ","Coffee - Strong cold , Kahlua - 2 tsp , ",Mix together in a coffee mug and chill before serving.
195,Alcoholic,Irish Curdling Cow,Highball glass,"Orange juice, Vodka, Bourbon, Baileys irish cream, ","Orange juice - 2-3 oz , Vodka - 3/4 oz , Bourbon - 3/4 oz , Baileys irish cream - 3/4 oz , ","Pour Irish Cream, Vodka, and Bourbon in a glass. Add some ice and mix in the orange juice."
196,Alcoholic,Jam Donut,Shot glass,"Sugar, Sugar syrup, Chambord raspberry liqueur, Baileys irish cream, ","Sugar - 2 pinches, Sugar syrup - 1 tsp, Chambord raspberry liqueur - 1/3 oz, Baileys irish cream - 2/3 oz, ","Coat the rim of a shot glass with sugar using sugar syrup to stick. Add the Chambord raspberry liqueur to the shot glass, and carefully layer the Baileys Irish Cream on top. Serve."
197,Alcoholic,Jitterbug,Cocktail Glass,"Soda water, Sugar syrup, Sugar, Lime juice, Grenadine, Vodka, Gin, ","Soda water - Fill to top with , Sugar syrup - 3 dashes , Sugar - Around rim put 1 pinch , Lime juice - 1 shot , Grenadine - 3 dashes , Vodka - 1 jigger , Gin - 2 jiggers , ","Wet glass, dip rim in sugar. Then add Ice. Then add everything else. It's that simple!"
